,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistName
0,track,song,136975,1474815798,1474815898,The Beatles,Abbey Road (2019 Mix),Here Comes the Sun,Abbey Road (2019 Mix),Here Comes the Sun (2019 Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/here-comes-the-sun-2019-mix/1474815798?i=1474815898&uo=4,https://music.apple.com/us/album/here-comes-the-sun-2019-mix/1474815798?i=1474815898&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/90/11/61/90116159-c908-c83b-9741-06ca6283d7c6/mzaf_12595696044658976019.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/2a/f9/04/2af904cd-f05a-d5a1-8014-c1387855b56c/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/2a/f9/04/2af904cd-f05a-d5a1-8014-c1387855b56c/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/2a/f9/04/2af904cd-f05a-d5a1-8014-c1387855b56c/source/100x100bb.jpg,9.99,1.29,1969-09-26T12:00:00Z,notExplicit,notExplicit,1,1,17,7,185707,USA,USD,Rock,True,
1,track,song,136975,1474815798,1474815799,The Beatles,Abbey Road (2019 Mix),Come Together,Abbey Road (2019 Mix),Come Together (2019 Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/come-together-2019-mix/1474815798?i=1474815799&uo=4,https://music.apple.com/us/album/come-together-2019-mix/1474815798?i=1474815799&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/46/fb/33/46fb33ff-9dcf-b617-50e0-f9cf23018cd6/mzaf_8283121869470797734.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/2a/f9/04/2af904cd-f05a-d5a1-8014-c1387855b56c/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/2a/f9/04/2af904cd-f05a-d5a1-8014-c1387855b56c/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/2a/f9/04/2af904cd-f05a-d5a1-8014-c1387855b56c/source/100x100bb.jpg,9.99,1.29,1969-09-26T12:00:00Z,notExplicit,notExplicit,1,1,17,1,260200,USA,USD,Rock,True,
2,track,song,136975,1440833098,1440834224,The Beatles,1 (2015 Version),Hey Jude,1 (2015 Version),Hey Jude (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/hey-jude-2015-stereo-mix/1440833098?i=1440834224&uo=4,https://music.apple.com/us/album/hey-jude-2015-stereo-mix/1440833098?i=1440834224&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/0e/fb/5f/0efb5fe8-5823-6157-f057-4876138cd063/mzaf_15335862948325492521.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1968-08-26T12:00:00Z,notExplicit,notExplicit,1,1,27,21,425653,USA,USD,Rock,True,
3,track,song,136975,1440833098,1440833920,The Beatles,1 (2015 Version),All You Need Is Love,1 (2015 Version),All You Need Is Love (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/all-you-need-is-love-2015-stereo-mix/1440833098?i=1440833920&uo=4,https://music.apple.com/us/album/all-you-need-is-love-2015-stereo-mix/1440833098?i=1440833920&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/86/17/ab/8617ab87-102d-3ce7-c559-a09a75b0e4da/mzaf_2447265705518021180.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,-1.0,1967-07-07T12:00:00Z,notExplicit,notExplicit,1,1,27,18,227760,USA,USD,Rock,True,
4,track,song,136975,1441133100,1441133277,The Beatles,The Beatles 1967-1970 (The Blue Album),Hey Jude,The Beatles 1967-1970 (The Blue Album),Hey Jude,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/hey-jude/1441133100?i=1441133277&uo=4,https://music.apple.com/us/album/hey-jude/1441133100?i=1441133277&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a4/33/20/a433208b-4e66-598a-55db-2ab05a4a5c77/mzaf_8650423337535233229.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/100x100bb.jpg,19.99,1.29,1968-08-26T12:00:00Z,notExplicit,notExplicit,2,1,14,13,431333,USA,USD,Rock,True,
5,track,song,136975,1441164495,1441164738,The Beatles,Let It Be,Let It Be,Let It Be,Let It Be,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/let-it-be/1441164495?i=1441164738&uo=4,https://music.apple.com/us/album/let-it-be/1441164495?i=1441164738&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/29/61/b7/2961b729-d447-ff81-a410-9ca15d3d0843/mzaf_8191307905573724441.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/a7/d6/f0/a7d6f05d-1c71-edd2-a6be-1e7c70ebca40/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/a7/d6/f0/a7d6f05d-1c71-edd2-a6be-1e7c70ebca40/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/a7/d6/f0/a7d6f05d-1c71-edd2-a6be-1e7c70ebca40/source/100x100bb.jpg,12.99,1.29,1970-03-06T12:00:00Z,notExplicit,notExplicit,1,1,12,6,243027,USA,USD,Rock,True,
6,track,song,136975,1440833098,1440834225,The Beatles & Billy Preston,1 (2015 Version),Get Back,1 (2015 Version),Get Back (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/get-back-2015-stereo-mix/1440833098?i=1440834225&uo=4,https://music.apple.com/us/album/get-back-2015-stereo-mix/1440833098?i=1440834225&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b2/c6/a8/b2c6a890-4a79-56cb-8f78-309bedb18135/mzaf_8264510383106762083.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1969-04-11T12:00:00Z,notExplicit,notExplicit,1,1,27,22,191773,USA,USD,Rock,True,The Beatles
7,track,song,136975,1441133180,1441133834,The Beatles,The Beatles (The White Album),Blackbird,The Beatles (The White Album),Blackbird,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/blackbird/1441133180?i=1441133834&uo=4,https://music.apple.com/us/album/blackbird/1441133180?i=1441133834&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/10/e8/96/10e89630-4b7b-77d4-af63-829d597340ba/mzaf_842543440499453757.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/16/fe/6a/16fe6a77-f15a-a4e3-1f92-cda58964c7d5/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/16/fe/6a/16fe6a77-f15a-a4e3-1f92-cda58964c7d5/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/16/fe/6a/16fe6a77-f15a-a4e3-1f92-cda58964c7d5/source/100x100bb.jpg,19.99,1.29,1968-11-22T12:00:00Z,notExplicit,notExplicit,3,1,17,11,138387,USA,USD,Rock,True,
8,track,song,136975,1441164359,1441164829,The Beatles,Rubber Soul,In My Life,Rubber Soul,In My Life,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/in-my-life/1441164359?i=1441164829&uo=4,https://music.apple.com/us/album/in-my-life/1441164359?i=1441164829&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/5c/77/c1/5c77c105-9a32-bee4-0ffa-76244dacb60a/mzaf_5900747299452570221.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music114/v4/ad/b6/b6/adb6b6d3-b3ee-ec61-10ea-91b173773b42/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music114/v4/ad/b6/b6/adb6b6d3-b3ee-ec61-10ea-91b173773b42/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music114/v4/ad/b6/b6/adb6b6d3-b3ee-ec61-10ea-91b173773b42/source/100x100bb.jpg,12.99,1.29,1965-12-03T12:00:00Z,notExplicit,notExplicit,1,1,14,11,146333,USA,USD,Rock,True,
9,track,song,136975,1440833098,1440833891,The Beatles,1 (2015 Version),Yesterday,1 (2015 Version),Yesterday (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/yesterday-2015-stereo-mix/1440833098?i=1440833891&uo=4,https://music.apple.com/us/album/yesterday-2015-stereo-mix/1440833098?i=1440833891&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/4e/69/ef/4e69ef80-6fd5-b0d4-d31d-2ade49322f6b/mzaf_4428129061915008026.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1965-09-13T12:00:00Z,notExplicit,notExplicit,1,1,27,11,125320,USA,USD,Rock,True,
10,track,song,136975,1440833098,1440833905,The Beatles,1 (2015 Version),Eleanor Rigby,1 (2015 Version),Eleanor Rigby (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/eleanor-rigby-2015-stereo-mix/1440833098?i=1440833905&uo=4,https://music.apple.com/us/album/eleanor-rigby-2015-stereo-mix/1440833098?i=1440833905&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/bc/55/bb/bc55bb67-910a-2523-d823-5c0da8a0c9f0/mzaf_6382907484619212168.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1966-08-05T12:00:00Z,notExplicit,notExplicit,1,1,27,16,125867,USA,USD,Rock,True,
11,track,song,136975,1440833098,1440833542,The Beatles,1 (2015 Version),I Want to Hold Your Hand,1 (2015 Version),I Want to Hold Your Hand (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/i-want-to-hold-your-hand-2015-stereo-mix/1440833098?i=1440833542&uo=4,https://music.apple.com/us/album/i-want-to-hold-your-hand-2015-stereo-mix/1440833098?i=1440833542&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/66/69/52/6669528e-6382-8b9e-7897-cff3741d6759/mzaf_11029101713401115459.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1963-11-29T12:00:00Z,notExplicit,notExplicit,1,1,27,4,145747,USA,USD,Rock,True,
12,track,song,136975,1440833098,1440834249,The Beatles,1 (2015 Version),Let It Be,1 (2015 Version),Let It Be (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/let-it-be-2015-stereo-mix/1440833098?i=1440834249&uo=4,https://music.apple.com/us/album/let-it-be-2015-stereo-mix/1440833098?i=1440834249&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/22/bd/fd/22bdfd51-8558-2e1c-2cf3-ef3fdd283b85/mzaf_7730248235614992400.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1970-03-06T12:00:00Z,notExplicit,notExplicit,1,1,27,26,230440,USA,USD,Rock,True,
13,track,song,136975,1440833098,1440833902,The Beatles,1 (2015 Version),Yellow Submarine,1 (2015 Version),Yellow Submarine (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/yellow-submarine-2015-stereo-mix/1440833098?i=1440833902&uo=4,https://music.apple.com/us/album/yellow-submarine-2015-stereo-mix/1440833098?i=1440833902&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/82/f7/e0/82f7e082-9b1e-910e-d4be-09c12d33719f/mzaf_6458134165009444491.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1966-08-05T12:00:00Z,notExplicit,notExplicit,1,1,27,15,158800,USA,USD,Rock,True,
14,track,song,136975,1440833098,1440833560,The Beatles,1 (2015 Version),Help!,1 (2015 Version),Help! (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/help-2015-stereo-mix/1440833098?i=1440833560&uo=4,https://music.apple.com/us/album/help-2015-stereo-mix/1440833098?i=1440833560&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/36/72/f8/3672f8d0-ba32-a108-57c1-596e3af12c2e/mzaf_10524567403392614797.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1965-07-19T12:00:00Z,notExplicit,notExplicit,1,1,27,10,139240,USA,USD,Rock,True,
15,track,song,136975,1440833098,1440833543,The Beatles,1 (2015 Version),Can't Buy Me Love,1 (2015 Version),Can't Buy Me Love (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/cant-buy-me-love-2015-stereo-mix/1440833098?i=1440833543&uo=4,https://music.apple.com/us/album/cant-buy-me-love-2015-stereo-mix/1440833098?i=1440833543&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/7e/43/9c/7e439cfd-69e6-504f-1556-242661cf7fe3/mzaf_13035897554163056612.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1964-03-16T12:00:00Z,notExplicit,notExplicit,1,1,27,5,131213,USA,USD,Rock,True,
16,track,song,136975,1440833098,1440834236,The Beatles,1 (2015 Version),Something,1 (2015 Version),Something (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/something-2015-stereo-mix/1440833098?i=1440834236&uo=4,https://music.apple.com/us/album/something-2015-stereo-mix/1440833098?i=1440834236&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/3d/a7/ae/3da7ae2c-d90d-6443-48bc-13bed23b7332/mzaf_8133601760017556835.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1969-10-06T12:00:00Z,notExplicit,notExplicit,1,1,27,24,181413,USA,USD,Rock,True,
17,track,song,136975,1440833098,1440833544,The Beatles,1 (2015 Version),A Hard Day's Night,1 (2015 Version),A Hard Day's Night (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/a-hard-days-night-2015-stereo-mix/1440833098?i=1440833544&uo=4,https://music.apple.com/us/album/a-hard-days-night-2015-stereo-mix/1440833098?i=1440833544&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/92/6b/41/926b410d-a267-ab71-963f-e0328ceae3c0/mzaf_11220402025232243314.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1964-07-10T12:00:00Z,notExplicit,notExplicit,1,1,27,6,152920,USA,USD,Rock,True,
18,track,song,136975,1440833098,1440833893,The Beatles,1 (2015 Version),Day Tripper,1 (2015 Version),Day Tripper (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/day-tripper-2015-stereo-mix/1440833098?i=1440833893&uo=4,https://music.apple.com/us/album/day-tripper-2015-stereo-mix/1440833098?i=1440833893&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a3/e3/01/a3e30168-fedc-7d61-4425-501e37f7103b/mzaf_4445934527461895276.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1965-12-03T12:00:00Z,notExplicit,notExplicit,1,1,27,12,169000,USA,USD,Rock,True,
19,track,song,136975,1440833098,1440834221,The Beatles,1 (2015 Version),"Hello, Goodbye",1 (2015 Version),"Hello, Goodbye (2015 Stereo Mix)",https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/hello-goodbye-2015-stereo-mix/1440833098?i=1440834221&uo=4,https://music.apple.com/us/album/hello-goodbye-2015-stereo-mix/1440833098?i=1440834221&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/4c/b5/e2/4cb5e297-dc32-3007-0191-87297447e1c9/mzaf_3510282081496516011.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1967-11-24T12:00:00Z,notExplicit,notExplicit,1,1,27,19,207787,USA,USD,Rock,True,
20,track,song,136975,1440833098,1440833334,The Beatles,1 (2015 Version),Love Me Do,1 (2015 Version),Love Me Do (Mono),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/love-me-do-mono/1440833098?i=1440833334&uo=4,https://music.apple.com/us/album/love-me-do-mono/1440833098?i=1440833334&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ae/49/83/ae498370-826e-16a4-3c2a-bb282ea32302/mzaf_17334919957723709223.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1962-10-05T12:00:00Z,notExplicit,notExplicit,1,1,27,1,140173,USA,USD,Rock,True,
21,track,song,136975,1440833098,1440833911,The Beatles,1 (2015 Version),Penny Lane,1 (2015 Version),Penny Lane (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/penny-lane-2015-stereo-mix/1440833098?i=1440833911&uo=4,https://music.apple.com/us/album/penny-lane-2015-stereo-mix/1440833098?i=1440833911&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/91/26/5c/91265cca-2a81-e521-3e22-33a4609dff5a/mzaf_7307966397235550747.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1967-02-13T12:00:00Z,notExplicit,notExplicit,1,1,27,17,180520,USA,USD,Rock,True,
22,track,song,136975,1440833098,1440833897,The Beatles,1 (2015 Version),We Can Work It Out,1 (2015 Version),We Can Work It Out (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/we-can-work-it-out-2015-stereo-mix/1440833098?i=1440833897&uo=4,https://music.apple.com/us/album/we-can-work-it-out-2015-stereo-mix/1440833098?i=1440833897&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c3/c6/9c/c3c69ca6-3e1d-c0ae-32df-f5384d4468ff/mzaf_15345255848500509972.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1965-12-03T12:00:00Z,notExplicit,notExplicit,1,1,27,13,135693,USA,USD,Rock,True,
23,track,song,136975,1440833098,1440833899,The Beatles,1 (2015 Version),Paperback Writer,1 (2015 Version),Paperback Writer (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/paperback-writer-2015-stereo-mix/1440833098?i=1440833899&uo=4,https://music.apple.com/us/album/paperback-writer-2015-stereo-mix/1440833098?i=1440833899&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/46/fb/b0/46fbb079-9fa5-b8e2-75d3-56c3a8618675/mzaf_13591570339303323489.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/db/79/94/db79941b-df8c-0bfb-60a1-df43e7847abb/source/100x100bb.jpg,12.99,1.29,1966-05-30T12:00:00Z,notExplicit,notExplicit,1,1,27,14,138200,USA,USD,Rock,True,
